ZIPCODE,INCIDENT_COUNT
10003,4
10027,4
10019,3
10039,3
10035,3
10014,3
10001,3
10025,2
10029,2
10002,2
10018,2
10011,2
10036,1
10017,1
10038,1
10065,1
10128,1
10031,1
10009,1
10026,1
10016,1
10032,1
10034,1
